x;y;layer1;layer2;voltage1;voltage2;current
1110.71;641.255;LAYER_2;BOTTOM_LAYER;0.178848;0.178852;-0.028952
1110.71;1881.41;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.00122843
1110.71;1881.41;LAYER_1;LAYER_2;0.179186;0.179187;-0.00122843
1110.71;1881.41;LAYER_2;BOTTOM_LAYER;0.179187;0.179187;-0.00116262
1110.71;2141.25;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000272919
1110.71;2141.25;LAYER_1;LAYER_2;0.179186;0.179186;-0.000272919
1110.71;2141.25;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;3.93686e-05
1118.39;1620.42;TOP_LAYER;LAYER_1;0.179412;0.179412;-0
1118.39;1620.42;LAYER_1;LAYER_2;0.179412;0.179412;-2.52962e-14
1118.39;1620.42;LAYER_2;BOTTOM_LAYER;0.179412;0.179412;-4.17766e-13
1123.68;1998.37;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.000279762
1123.68;1998.37;LAYER_1;LAYER_2;0.179185;0.179186;-0.000279762
1123.68;1998.37;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000133216
1130.4;2105.82;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000182342
1130.4;2105.82;LAYER_1;LAYER_2;0.179186;0.179186;-0.000182342
1130.4;2105.82;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-6.4103e-05
1150.08;2141.25;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000276822
1150.08;2141.25;LAYER_1;LAYER_2;0.179186;0.179186;-0.000276822
1150.08;2141.25;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;3.01482e-05
1155.17;1998.37;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.000319561
1155.17;1998.37;LAYER_1;LAYER_2;0.179185;0.179186;-0.000319561
1155.17;1998.37;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;3.06845e-05
